gastvrouw	'xAst-frA+w
herfstperiode	'hErfs-tpe-ri-jo-d@
reumatoloog	r2-ma-to-'lox
duivelsadvocaat	'dY+-v@ls-At-fo-kat
rechtsnorm	'rExts-nOrm
topfoto	'tOp-fo-to
pakezel	'pAk-e-z@l
protectie	pro-'tEk-si
lymfografie	lIm-fo-Gra-'fi
rouwmantel	'rA+w-mAn-t@l
vetplant	'vEt-plAnt
vrieswagen	'vris-wa-G@
rekeningseenheid	're-k@-nINs-en-hE+t
zielsverwant	'zils-f@r-wAnt
stadsheld	'stAts-hElt
schobbejakshoogte	'sxO-b@-jAks-hox-t@
vonkenregen	'vON-k@-re-G@
spoonerisme	'spo-n@-rIs-m@
windboom	'wInd-bom
plateauzool	pla-'to-zol
mandenvlechter	'mAn-d@-vlEx-t@r
ballotage	bA-lO-'ta-Z@
garnalenstand	'xAr-na-l@s-tAnt
onernst	On-'Ernst
strafvermindering	'strA-f@r-mIn-d@-rIN
bioscoopzetel	bi-jOs-'kop-se-t@l
whiskyfan	whIs-'ki-fAn
beleidssector	b@-'lE+t-sEk-tOr
collector	kO-'lEk-tOr
hoorndrager	'horn-dra-G@r
klassenvertegenwoordiger	'klA-s@-v@r-te-G@-wor-d@-G@r
entrefilettist	'An-tr@-fi-le-'tIst
bladerkrans	'bla-d@r-krAns
waarnemer	'war-ne-m@r
snelheidsbegrenzer	'snEl-hE+tz-b@-GrEn-z@r
limietverzekering	li-'mit-f@r-ze-k@-rIN
omstulping	'Om-stYl-pIN
omtuining	Om-'tY+-nIN
philipsbestuurder	'phi-lIpz-b@-styr-d@r
neusschelp	'n2-sxElp
snijdingslijn	'snE+-dINs-lE+n
onderwijsmethodiek	'On-d@r-wE+s-me-to-dik
pekelschade	'pe-k@l-sxa-d@
dendriet	dEn-'drit
brigadegeneraal	bri-'Ga-d@-Ge-n@-ral
wazigheid	'wa-z@x-hE+t
toelage	'tu-la-G@
vlinder	'vlIn-d@r
machtpositie	'mAxt-po-zi-tsi
surprise	sYr-'pri-s@
tweekamp	'twe-kAmp
eenoudergezin	en-'A+-d@r-G@-zIn
weldaad	'wEl-dat
cup-a-soup	'kYp-'a-'sA+p
polyfaag	po-li-'fax
postpakketdienst	'pOst-pA-kE-dinst
homologie	ho-mo-lo-'Gi
monogamie	mo-no-Ga-'mi
kaderplicht	'ka-d@r-plIxt
handel-verkoop	'hAn-d@l-v@r-'kop
beschermgeest	b@-'sxErm-Gest
troonzetel	'tron-ze-t@l
kletsbui	'klEdz-bY+
getrouwheidskaart	x@-'trA+w-hE+ts-kart
rampentoerist	'rAm-p@n-tu-rIst
naamsbekendheid	'namz-b@-kEnt-hE+t
beenuitwas	'ben-Y+t-wAs
prelatuur	pre-la-'tyr
spoortoegang	'spor-tu-xAN
filmhuisfilm	'fIlm-hY+s-fIlm
toewijzing	'tu-wE+-zIN
onverdedigbaarheid	On-v@r-'de-d@G-bar-hE+t
draaideur	'draj-d2r
zondagsdienst	'zOn-dAGz-dinst
eugeneticus	Y+-G@-'ne-ti-kYs
vbo-mavo-leerling	ve-be-'o-'ma-vo-'ler-lIN
bleekselderij	'blek-sEl-d@-rE+
dorpsgek	'dOrps-xEk
leverworstpat&eacute;	'le-v@r-wOrst-pa-te
kunstzaal	'kYnst-sal
nieroperatie	ni-ro-p@-'rat-si
bleekselderie	'blek-sEl-d@-ri
louw	'lA+w
vetlok	'vEt-lOk
patchworkdeken	'pAtx-wOrg-de-k@
rampenstaf	'rAm-p@s-tAf
vizierkorrel	vi-'zir-kO-r@l
geuzenpenning	'x2-z@-pE-nIN
melasse	me-'lA-s@
wankelmoedigheid	wAN-k@l-'mu-d@x-hE+t
levensvorm	'le-v@s-fOrm
zusterziel	'zYs-t@r-zil
koningslelie	'ko-nINs-le-li
zadelmaker	'za-d@l-ma-k@r
walvispopulatie	wAl-vIs-po-py-'lat-si
devotie	de-'vo-tsi
kloteavondschool	klo-te-ja-vOnt-'sxol
hoor	'hor
hoos	'hos
hoop	'hop
werkkracht	'wEr-krAxt
prikklok	'prI-klOk
veiligheidsmaatregel	'vE+-l@x-hE+ts-mat-re-G@l
bedevaartgangster	'be-d@-vart-xAN-st@r
telefonist	te-l@-fo-'nIst
conflictanalyse	kOn-'flIkt-a-na-li-z@
stripteasedanseres	'strIp-tiz-dAn-s@-rEs
hoon	'hon
platenspeler	'pla-t@-spe-l@r
vraagkant	'vrax-kAnt
fonetiek	fo-ne-'tik
prostaatoperatie	prOs-'tat-o-p@-ra-tsi
normaalfilm	nOr-'mal-fIlm
figurante	fi-Gy-'rAn-t@
levenskunstenares	'le-v@s-kYn-st@-na-rEs
literatuurreferentie	li-t@-ra-'ty-re-f@-rEn-si
fluxmeter	'flYks-me-t@r
begindatum	b@-GIn-'da-tYm
spellingscommissie	'spE-lINs-kO-mI-si
proscriptie	pro-'skrIp-si
kiesvergadering	'kis-f@r-Ga-d@-rIN
ongedeeldheid	ON-G@-'delt-hE+t
hydrant	hi-'drAnt
zuigbevrediging	'zY+G-b@-vre-d@-GIN
betichting	b@-'tIx-tIN
roepeend	'rup-ent
loterijlijst	lo-t@-'rE+-lE+st
brutowedde	bry-to-'wE-d@
openingsvergadering	'o-p@-nINs-f@r-Ga-d@-rIN
parkwachter	'pArk-wAx-t@r
gymtas	'xIm-tAs
ooglap	'oG-lAp
opel-dealer	'o-p@l-di-l@r
susceptibiliteit	sY-sEp-ti-bi-li-'tE+t
sinti-muziek	'sIn-si-my-'zik
woonplaatskeuze	'wom-plats-k2-z@
prefectuur	pre-fEk-'tyr
scholenbouw	'sxo-l@-bA+w
komgrond	'kOm-GrOnt
groepleidster	'xrup-lE+t-stEr
zes-puntenpartij	'zEs-'pYn-t@m-pAr-tE+
splijtstof	'splE+t-stOf
wokschotel	'wOk-sxo-t@l
wipcar	'wIp-kAr
committent	kO-mI-'tEnt
robeco-medewerker	'ro-b@-ko-'me-d@-wEr-k@r
kandidaat	kAn-di-'dat
sovjetvlag	sOv-'jEt-flAx
goudzoekersroute	'xA+t-su-k@r-sru-t@
lentezon	'lEn-t@-zOn
einder	'E+n-d@r
tonaliteit	to-na-li-'tE+t
pluimborstel	'plY+m-bOr-st@l
periodisering	pe-ri-jo-di-'ze-rIN
poldermolen	'pOl-d@r-mo-l@
sportinfomarkt	'spOr-tIn-fo-mArkt
hondsroos	'hOnts-ros
kokosmakroon	'ko-kOs-ma-kron
popzanger	'pOp-sA-N@r
entente	An-'tAn-t@
conjugatie	kO-Jy-'Ga-tsi
talore	ta-'lo-r@
ira-bom	i-Er-'a-'bOm
testateur	tEs-ta-'t2r
gitaarrock	xi-'ta-rOk
bloedtoevoer	'blu-tu-fur
lichtstoet	lIxt-'stut
gladheid	'xlAt-hE+t
rondgang	'rOnt-xAN
nazi-tijd	'na-tsi-tE+t
tomatenkweker	to-'ma-t@k-we-k@r
kruinschering	'krY+n-sxe-rIN
buikspieroefening	'bY+k-spir-u-f@-nIN
sierplant	'sir-plAnt
artillerist	Ar-ti-l@-'rIst
bodemrijkdom	'bo-d@m-rE+g-dOm
vleitaal	'vlE+-tal
palmboter	'pAlm-bo-t@r
kostenstructuur	'kOs-t@-strYk-tyr
quaestuur	kwEs-'tyr
barouche	ba-'ruS
harentwil	'ha-r@t-wIl
berkoen	bEr-'kun
bidder	'bI-d@r
roeststok	'rust-stOk
hort	'hOrt
balsamico	'bAl-sa-mi-ko
drager	'dra-G@r
infoavond	'In-fo-wa-vOnt
teamvergadering	'tim-v@r-Ga-d@-rIN
kadastrering	ka-dAs-'tre-rIN
maaivoet	'maj-vut
pikmortelmacadam	'pIk-mOr-t@l-ma-ka-dAm
nestvlieder	'nEst-fli-d@r
prioriteitsstelling	pri-jo-ri-'tE+t-stE-lIN
uitstoot	'Y+t-stot
huwelijkstrouw	'hy-w@-l@ks-trA+w
basisstrategie	'ba-z@-stra-te-Gi
melkpot	'mElk-pOt
dragee	dra-'Ze
serveerster	sEr-'ver-st@r
visakte	'vIs-Ak-t@
zwamneus	'zwAm-n2s
plantwijdte	'plAnt-wE+-t@
toeristenbelasting	'tu-rIs-t@m-b@-lAs-tIN
muntenverzameling	'mYn-t@-v@r-za-m@-lIN
penseelstreek	pEn-'sel-strek
omwentelingsverhouding	'Om-wEn-t@-lINs-f@r-hA+-dIN
verkeersvoorziening	v@r-'kers-for-zi-nIN
mengsmering	'mEN-sme-rIN
goudader	'xA+d-a-d@r
motorbranche	mo-tOr-'brAnS
droplul	drOp-'lYl
witte-huis-correspondent	'wI-t@-'hY+s-kO-r@s-pOn-'dEnt
b-groep	'be-'xrup
toetsingsmaatstaf	'tut-sINs-mat-stAf
glaskast	xlAs-'kAst
fytopathologie	fi-to-pA-to-lo-'Gi
doodgraver	'dot-xra-v@r
waardebasis	'war-d@-ba-z@s
openingskoers	'o-p@-nINs-kurs
brillantine	bri-jAn-'ti-n@
consumentenvereniging	kOn-sy-'mEn-t@-v@-re-n@-GIN
badmantel	'bAd-mAn-t@l
rechtsgrond	'rExts-xrOnt
ijzerbedevaart	'E+-z@r-be-d@-vart
tirailleurslinie	ti-rA-'j2rs-li-ni
oorflapweigeraar	'or-flAp-wE+-G@-rar
hogedrukpan	ho-G@-'drYk-pAn
dessa	'dE-sa
koka	'ko-ka
steriliseerpot	ste-ri-li-'zer-pOt
bolderwagen	'bOl-d@r-wa-G@
sinterklaaspolitiek	'sIn-t@r-klas-po-li-tik
toegevendheid	tu-'Ge-v@nt-hE+t
aluminiumindustrie	a-ly-'mi-ni-jYm-In-dYs-tri
pneumaciteit	pn2-ma-si-'tE+t
latnagel	'lAt-na-G@l
nagelborstel	'na-G@l-bOr-st@l
commissiezitting	kO-mI-'si-sI-tIN
schedel	'sxe-d@l
schakelfout	sxa-kEl-'fA+t
once-ploeg	'On-s@-'plux
aanstellingsbrief	'an-stE-lINz-brif
ex-professor	Eks-pro-'fE-sOr
schouwer	'sxA+-w@r
schansloper	'sxAns-lo-p@r
paravane	pa-ra-'va-n@
betekenisoverdracht	b@-'te-k@-nIs-o-v@r-drAxt
kansspelbelasting	'kAn-spEl-b@-lAs-tIN
hoogte	'hox-t@
ontspanningsmuziek	Ont-'spA-nINs-my-zik
ondergevel	'On-d@r-Ge-v@l
tweezesentachtig	twe-ze-z@n-'tAx-t@x
ongerichtheid	ON-G@-'rIxt-hE+t
schelf	'sxElf
neonbak	'ne-jOm-bAk
pointe	'pwE~-t@
hoerenboel	'hu-r@-bul
fabricatie	fA-bri-'ka-tsi
stopplaats	'stO-plats
koffietafel	'kO-fi-ta-f@l
doelstellingenanalyse	'dul-stE-lI-N@-a-na-li-z@
salarisverlaging	'sa-la-r@s-f@r-la-GIN
ijskist	'E+s-kIst
pestvent	'pEst-fEnt
vink	'vINk
keienstraat	'kE+-j@-strat
kraageend	'kraG-ent
werktuig	'wErk-tY+x
cricketbal	'krI-k@d-bAl
eletriek	'e-l@t-rik
rombo&euml;der	rOm-bo-'we-d@r
uitbetaler	'Y+d-b@-ta-l@r
clippermap	'klI-p@r-mAp
evacu&eacute;	e-va-ky-'we
magistratenschool	ma-GIs-'tra-t@-sxol
fondueset	fOn-'dy-sEt
laagstok	'lax-stOk
scherpslijperij	sxErp-slE+-p@-'rE+
slagfrequentie	slAx-fr@k-'wEn-si
binnenloods	'bI-n@-lots
martelares	mAr-t@-la-'rEs
begrafenisonderneming	b@-'Gra-f@-nIs-On-d@r-ne-mIN
bokking	'bO-kIN
vriendelijkheid	'vrin-d@-l@k-hE+t
pruimspirea	'prY+m-spi-re-ja
spuit	'spY+t
lastigaard	'lAs-t@G-art
verkeersvrouw	v@r-'kers-frA+w
neushorenkever	'n2s-ho-r@N-ke-v@r
eg-partner	e-Ge-'pArt-nEr
volledigheid	vO-'le-d@x-hE+t
naziree&euml;r	na-zi-'re-j@r
stortkar	'stOrt-kAr
hoekbank	'hug-bANk
zevenennegentighonderd	ze-v@-n@-'ne-G@n-t@x-hOn-d@rt
goklust	'xOk-lYst
brandbaarheid	'brAnd-bar-hE+t
acne	'Ak-ne
sterrengroep	'stE-r@-Grup
slangenkop	'slA-N@-kOp
hoekband	'hug-bAnt
tommel-maatlat	'tO-m@l-'mat-lAt
koek-en-zopie	kuk-En-'zo-pi
preutelaar	'pr2-t@-lar
profielanalyse	pro-'fi-la-na-li-z@
kunstvriend	'kYnst-frint
folder	'fOl-d@r
vlaggenfabriek	'vlA-G@-fA-brik
pleister	'plE+s-t@r
begankenis	b@-'GAN-k@-nIs
hoofdruimte	'hoft-rY+m-t@
situatieanalyse	si-ty-'wa-tsi-a-na-li-z@
rotte-eierenlucht	'rO-t@-'E+-j@-r@n-lYxt
werkdefinitie	'wErg-de-fi-ni-tsi
stop	'stOp
stijlanalyse	'stE+l-a-na-li-z@
stol	'stOl
klammigheid	'klA-m@x-hE+t
toptien	tOp-'tin
smul	'smYl
smuk	'smYk
draagraket	'draG-ra-kEt
benzadrine	'bEn-zAt-ri-n@
journalistenwedstrijd	'Zur-na-lIs-t@n-wEts-trE+t
stof	'stOf
umlautsfactor	'um-lA+ts-fAk-tOr
gronddienst	'xrOn-dinst
wanhoopsdaad	'wAn-hobz-dat
voodoo	'vu-du
vier-havo-klas	'vir-'ha-vo-'klAs
cirkeldriehoek	'sIr-k@l-dri-huk
leukodermia	l2-ko-'dEr-mi-ja
maskage	mAs-'ka-Z@
thesaurier	te-sA+-'rir
stadhouder	'stAt-hA+-d@r
reflectografie	r@-flEk-to-Gra-'fi
voetbalplaatje	'vud-bAl-plat-j@
versuffing	v@r-'sY-fIN
hulpactie	'hYlp-Ak-si
beschimping	b@-'sxIm-pIN
flonkering	'flON-k@-rIN
praktijkschool	prAk-'tE+k-sxol
blok-senator	'blOk-se-'na-tOr
druifluis	'drY+f-lY+s
penetratie	pe-n@-'tra-tsi
whister	'wIs-t@r
kraamverpleger	'kram-v@r-ple-G@r
weduwvogel	'we-dyw-vo-G@l
bibliologie	bi-bli-jo-lo-'Gi
hemdijk	'hEm-dE+k
stadbewoner	'stAd-b@-wo-n@r
portemonnee	pOr-t@-mO-'ne
stootband	'stod-bAnt
brutowinst	'bry-to-wInst
venter	'vEn-t@r
omvorming	'Om-vOr-mIN
geloofszekerheid	x@-'lof-se-k@r-hE+t
onwelluidendheid	On-wE-'lY+-d@nt-hE+t
verandering	v@r-'An-d@-rIN
computerondersteuningsgroep	kOm-'py-t@-rOn-d@r-st2-nIN-sxrup
basisbezetting	'ba-z@z-b@-zE-tIN
belastingverlaging	b@-'lAs-tIN-v@r-la-GIN
strafschopgebiedlijn	'strAf-sxOp-x@-bit-lE+n
rubberboot	'rY-b@r-bot
ereconsul	'e-r@-kOn-zYl
achterkleindochter	'Ax-t@r-klE+n-dOx-t@r
weeromreis	wer-'Om-rE+s
ficus	'fi-kYs
hart-longtransplantatie	'hArt-lON-trAns-plAn-'tat-si
nomadenclan	no-'ma-d@k-lAn
opvrolijking	'Op-fro-l@-kIN
uilenklauw	'Y+-l@-klA+w
veeg	'vex
rozenmaand	'ro-z@-mant
kruiling	'krY+-lIN
bofkont	'bOf-kOnt
stuntel	'stYn-t@l
wijshoofd	'wE+s-hoft
aandelenaankoop	'an-de-l@-naN-kop
handrasp	'hAnd-rAsp
werf	'wErf
pampa	'pAm-pa
voetbaltragedie	'vud-bAl-tra-G@-di
proefpersoon	'pruf-p@r-son
schuurkurk	'sxyr-kYrk
halfzwaargewicht	hAlf-'swar-G@-wIxt
zomermorgen	'zo-m@r-mOr-G@
acteeropleiding	Ak-te-rOp-'lE+-dIN
piktoorts	'pIk-torts
sacristein	sA-krIs-'tE+n
schokbrekerfabriek	'sxOg-bre-k@r-fA-brik
serieschakeling	'se-ri-sxa-k@-lIN
neuritis	n2-'ri-t@s
geboortegolf	x@-'bor-t@-GOlf
vlotbalk	'vlOd-bAlk
hoofdschakelaar	'hoft-sxa-k@-lar
triestheid	'trist-hE+t
dievenklauw	'di-v@-klA+w
spiritusvlam	'spi-ri-tYs-flAm
hart-op-de-tonglezing	'hArt-'Op-t@-'tOn-Gle-zIN
bareel	ba-'rel
diploma-uitreiking	'dIp-lo-ma-'Y+t-rE+-kIN
staander	'stan-d@r
grondzee	'xrOnt-se
milieudoelstelling	mi-'lj2-dul-stE-lIN
doodsoorzaak	'dots-or-zak
klaarte	'klar-t@
koudwaterinrichting	kA+t-'wa-t@r-In-rIx-tIN
gaardenier	xar-d@-'nir
nucleoside	ny-kle-jo-'zi-d@
groeifactor	'xruj-fAk-tOr
gasbidon	'xAz-bi-dOn
ballensoci&euml;teit	'bA-l@-so-S@-tE+t
tablet	ta-'blEt
yogaoefening	'jo-Ga-u-f@-nIN
verwantschapsstructuur	v@r-'wAnt-sxAps-trYk-tyr
samenbundeling	'sa-m@m-bYn-d@-lIN
korteafstandsraket	'kOr-te-jAf-stAnt-sra-kEt
observant	Op-s@r-'vAnt
sponssteen	'spOn-sten
co2-uitstoot	se-'o-'twe-'Y+t-stot
panterkat	'pAn-t@r-kAt
schilderkunst	'sxIl-d@r-kYnst
nazi-propaganda	'na-tsi-pro-pa-GAn-da
beeldbewerking	'beld-b@-wEr-kIN
huisvestingsaangelegenheid	'hY+s-fEs-tINs-aN-G@-le-G@-hE+t
verhaallijn	v@r-'ha-lE+n
typist	ti-'pIst
handmof	'hAnd-mOf
soutien	su-'tjE~
hondenkost	'hOn-d@-kOst
motorwagen	'mo-tOr-wa-G@
fondslijst	'fOnts-lE+st
buitenlandco&ouml;rdinator	'bY+-t@-lAnt-ko-wOr-di-'na-tOr
aanstelling	'an-stE-lIN
lanceerinstallatie	lAn-'ser-In-stA-la-tsi
priv&eacute;-sector	pri-'ve-sEk-tOr
maanvaarder	'man-var-d@r
traankokerij	traN-ko-k@-'rE+
cursist	kYr-'sIst
haagvors	'hax-fOrs
graviditeit	xra-vi-di-'tE+t
mao-remmer	'ma-o-rE-m@r
strandstoel	'strAnt-stul
overreactie	o-v@-re-'jAk-si
benedenkamer	b@-'ne-d@-ka-m@r
mussenverschrikker	'mY-s@-v@r-sxrI-k@r
hi&euml;roglief	hi-j@-ro-'Glif
koffieteelt	'kO-fi-telt
citroenolie	si-'trun-o-li
tijdaanwijzing	'tE+d-an-wE+-zIN
armoedebestrijding	'Ar-mu-d@-b@-strE+-dIN
lichaamsholte	'lI-xams-hOl-t@
crisistheorie	'kri-s@s-te-jo-ri
taffia	'tA-fi-ja
lepeltjesheide	'le-p@l-tj@s-hE+-d@
zwangerschapskwaal	zwA-N@r-sxAps-'kwal
vaktaal	'vAk-tal
snorbaard	'snOr-bart
sleepasperge	'slep-As-pEr-Z@
gummizool	'xY-mi-zol
scharrelboerderij	'sxA-r@l-bur-d@-rE+
parabel	pa-'ra-b@l
actievorm	'Ak-si-vOrm
megabar	'me-Ga-bAr
vruchtgroente	'vrYxt-xrun-t@
hygi&euml;nefreak	hi-Gi-'je-n@-frik
ziekenhuisopname	'zi-k@-hY+s-Op-na-m@
schaduw	'sxa-dyw
personeelslid	pEr-so-'nels-lIt
alpinomuts	Al-'pi-no-mYts
trekster	'trEk-stEr
piccolo	'pi-ko-lo
middenkoers	'mI-d@-kurs
leerbereider	'ler-b@-rE+-d@r
kluis	'klY+s
wegenbouw	'we-G@-bA+w
proefnaald	'pruf-nalt
pierleider	'pir-lE+-d@r
individualiste	In-di-vi-dy-wa-'lIs-t@
monogonie	mo-no-Go-'ni
remweg	'rEm-wEx
kabinetsdelegatie	ka-bi-nEtz-de-l@-'Gat-si
familievader	fa-mi-'li-fa-d@r
sociocratie	so-So-krat-'si
vogelwachter	'vo-G@l-wAx-t@r
regeringstop	r@-'Ge-rIN-stOp
hooivlinder	'hoj-vlIn-d@r
groeistad	'xruj-stAt
verheugenis	v@r-'h2-G@-nIs
wandelgang	'wAn-d@l-GAN
geboortepremie	x@-bor-tEp-'re-mi
woonbemiddeling	'wom-b@-mI-d@-lIN
sportmiddag	'spOrt-mI-dAx
play-off-finale	'plAj-'O-fi-'na-l@
bliksem	'blIk-s@m
spaarbrander	'spar-brAn-d@r
bouquet-reeks	bu-'kEt-reks
tank	'tENk
winding	'wIn-dIN
tang	'tAN
stroefheid	'struf-hE+t
gewilligheid	x@-'wI-l@x-hE+t
doorgangsweg	'dor-GANs-wEx
goochelvoorstelling	'xo-x@-lvor-stE-lIN
erfrente	'Erf-rEn-t@
dessertlepel	dE-'sE:r-le-p@l
danceact	'dAn-se-jAkt
kompasroos	kOm-'pAs-ros
onvermoeibaarheid	On-v@r-'muj-bar-hE+t
koeienziekte	'ku-j@n-zik-t@
motorist	mo-to-'rIst
brandigheid	'brAn-d@x-hE+t
brutoprijslijst	bry-tOp-'rE+s-lE+st
oproep	'Op-rup
tant	'tAnt
discussiedag	dIs-'kY-si-dAx
pantoffelheld	pAn-'tO-f@l-hElt
papegaaiduiker	'pa-p@-Gaj-dY+-k@r
tendensliteratuur	tEn-'dEns-li-t@-ra-tyr
kiemvorming	'kim-vOr-mIN
klote	'klo-t@
mauwbui	'mA+w-bY+
horloger	hOr-lo-'Ze
rammeling	'rA-m@-lIN
minuut	mi-'nyt
ip	i-'pe
uitwijkmogelijkheid	'Y+t-wE+k-mo-G@-l@k-hE+t
gelukspop	x@-'lYks-pOp
weerwraak	'wer-wrak
college-vergadering	kO-'le-Z@-v@r-'Ga-d@-rIN
telerail	'te-l@-rel
stribbeling	'strI-b@-lIN
klots	'klOts
ij	'E+
zelfgerichtheid	'zElf-x@-rIx-tE+t
windvaan	'wInt-fan
eugenetica	Y+-G@-'ne-ti-ka
controleur	kOn-tro-'l2r
gezondheidsbevordering	x@-'zOnt-hE+tz-b@-vOr-d@-rIN
ie	'i
sluikerij	slY+-k@-'rE+
afdelingsvergadering	'Av-de-lINs-f@r-Ga-d@-rIN
toonschaal	'ton-sxal
zeerob	'ze-rOp
bonenschotel	'bo-n@-sxo-t@l
wiskundebevoegdheid	'wIs-kYn-d@-b@-vuxt-hE+t
visagist	vi-za-'ZIst
chim&egrave;re	Si-'mE:-r@
groepsvergadering	'xrups-f@r-Ga-d@-rIN
aflaadplaats	'Af-lat-plats
onderneemster	On-d@r-'nem-st@r
polygraaf	po-li-'Graf
sinusitis	si-ny-'zi-t@s
schooldirecteur	'sxol-di-rEk-t2r
onvoegzaamheid	On-'vux-sam-hE+t
manchet	mAn-'SEt
klimaatdiscussie	kli-ma-dIs-'kY-si
pioenrozententoonstelling	pi-jun-ro-'zEn-t@n-ton-stE-lIN
vorstengunst	'vOr-st@-GYnst
vlaggenlijn	'vlA-G@-lE+n
bokshoorn	'bOks-horn
managementmeeting	ma-na-G@-'mEnt-me-tIN
magneetpool	mAG-'net-pol
afwijking	'Af-wE+-kIN
zelfopvoeding	zEl-fOp-fu-'dIN
t-balk	'te-bAlk
uitroepteken	'Y+t-rup-te-k@
catalogisering	kA-ta-lo-Gi-'ze-rIN
damclub	'dAm-klYp
apenstreek	'a-p@-strek
trainster	'tren-st@r
ruitzalf	'rY+t-sAlf
herroeping	hE-'ru-pIN
luchtgat	'lYxt-xAt
schapenpels	'sxa-p@-pEls
halsketting	'hAls-kE-tIN
rikketik	'rI-k@-tIk
attractiepark	At-'rAk-si-pArk
technocratie	tEx-no-kra-'tsi
dekzwabber	'dEk-swA-b@r
iconenkunst	i-'ko-n@N-kYnst
uitsteller	'Y+t-stE-l@r
solventie	sOl-'vEn-si
vn-commissaris	ve-'EN-'kO-mI-sa-r@s
letterlap	'lE-t@r-lAp
nozem	'no-z@m
struikhei	'strY+k-hE+
winterspinazie	'wIn-t@rs-pi-na-zi
wetgevingssystematiek	'wEt-xe-vIN-sis-t@-ma-tik
krijgseer	'krE+xs-er
tweeloop	'twe-lop
trui-zaagwinkel	'trY+-'zax-wIN-k@l
chronometer	'xro-no-me-t@r
temer	'te-m@r
koffiecultuur	'kO-fi-kYl-tyr
klankwijziging	'klANk-wE+-z@-GIN
visschub	'vI-sxYp
lightwriter	'lIxht-wri-t@r
prozamens	'pro-za-mEns
crapaud	kra-'po
kermisgast	'kEr-mIs-xAst
wrangheid	'wrAN-hE+t
contractvorming	kOn-'trAkt-fOr-mIN
sarangi	sa-'rAN-Gi
dikkerd	'dI-k@rt
mozarellakaas	mo-'za-r@-la-kas
snowboardvakantie	snOw-bo-wArt-fa-'kAn-si
sporting	'spOr-tIN
foto-index	'fo-to-'In-dEks
vrijetijdskleding	vrE+-j@-'tE+ts-kle-dIN
hoestpastille	'hust-pAs-ti-j@
verbindingsklank	v@r-'bIn-dINs-klANk
dagrugzak	'dAx-rYx-sAk
pepermuntolie	pe-p@r-'mYnt-o-li
makerij	ma-k@-'rE+
bioluminescentie	'bi-jo-ly-mi-n@-sEn-si
slagersrekening	'sla-G@rs-re-k@-nIN
nogataart	'no-Ga-tart
bankierszoon	bAN-'kir-son
signaalsterkte	sI-Jal-'stErk-t@
gedaante	x@-'dan-t@
normhuurquote	'nOrm-hyr-kwo-t@
gezondheidssituatie	x@-'zOnt-hE+t-si-ty-wa-tsi
hypotheekverzekering	hi-po-'tek-f@r-ze-k@-rIN
bluf	'blYf
geschuttap	x@-'sxY-tAp
doopakte	'dop-Ak-t@
veeartsenij	ve-jArt-se-'nE+
gehakketak	x@-'hA-k@-tAk
schildvis	'sxIlt-fIs
zielentoestand	'zi-l@-tu-stAnt
trein-tram-busdag	'trE+n-'trAm-'bYz-dAx
biefburger	'biv-bYr-G@r
waarde-keten	'war-d@-'ke-t@
hartspier	'hArt-spir
ingenieursarbeid	'In-G@-ni-j2r-sAr-bE+t
schemering	'sxe-m@-rIN
landbouwkolonie	'lAnd-bA+w-ko-lo-ni
jobcreatie	jOp-kre-'jat-si
lectuurbak	lEk-'tyr-bAk
prinsgemaal	prIns-x@-'mal
kitlijm	'kIt-lE+m
boreling	'bo-r@-lIN
mcbeal-avond	mgb@-'Al-'a-vOnt
massavergadering	'mA-sa-v@r-Ga-d@-rIN
glazigheid	'xla-z@x-hE+t
heilbede	'hE+l-be-d@
wikkel	'wI-k@l
slagroomwafel	'slAG-rom-wa-f@l
meerarbeid	'mer-Ar-bE+t
zijveranda	'zE+-v@-rAn-da
bijbelversie	'bE+-bEl-vEr-zi
opa	'o-pa
toelatingsstop	'tu-la-tIN-stOp
koopmanshuis	'kop-mAns-hY+s
zelfbewustheid	zElv-b@-'wYst-hE+t
courgettesoep	'kur-GE-t@-sup
ivoordraaier	i-'vor-dra-j@r
gletsjervlo	'glEt-S@r-vlo
diazstraat	'di-jA-strat
esthetica	Es-'te-ti-ka
smeerpot	'smer-pOt
theebeurs	'te-b2rs
kapuits	ka-'pY+ts
vagevuur	'va-G@-vyr
pakton	'pAk-tOn
systeemgroep	sis-'tem-Grup
beenhouwer	'ben-hA+-w@r
kikvorsman	'kIk-fOrs-mAn
proefbasis	'pruv-ba-z@s
inbouwkoelkast	'Im-bA+w-kul-kAst
vernieuwingsgedachte	v@r-'ni-wINs-x@-dAx-t@
actiefzijde	Ak-'tif-sE+-d@
wortelstok	'wOr-t@l-stOk
lijkroof	'lE+k-rof
landbouwscheikunde	'lAnd-bA+w-sxE+-kYn-d@
aanbreng	'am-brEN
oliespuit	'o-li-spY+t
psalmdichter	'psAlm-dIx-t@r
clementine	kle-mEn-'ti-n@
litotes	'li-to-tEs
delicatessenzaak	de-li-ka-'tE-s@-zak
rolzitting	'rOl-zI-tIN
votiefsteen	vo-'tif-sten
rallykampioen	rA-'li-kAm-pi-jun
leesmethode	'les-me-to-d@
polsdrager	'pOlz-dra-G@r
regenbui	're-G@m-bY+
lundia-kast	'lYn-di-ja-'kAst
betaalsrol	b@-'tals-rOl
kunstverzamelaar	'kYnst-f@r-za-m@-lar
basisfout	'ba-z@s-fA+t
positiebepaling	po-'zit-si-b@-pa-lIN
wetsherziening	'wEts-hEr-zi-nIN
